1,1,20,6,5,0,1,0,1,0,1
0,4,18,2,5,0,0,1,0,0,1
0,6,27,5,5,0,1,1,1,0,1
1,3,10,3,5,1,1,0,0,0,1
0,7,19,1,5,0,0,0,0,0,1
0,6,20,0,3,0,0,0,1,0,1
1,7,12,2,0,1,1,0,1,0,1
1,1,29,6,3,0,0,1,0,0,1
1,6,7,0,2,0,0,0,0,0,1
0,1,42,6,3,0,0,1,1,0,1
1,2,16,6,3,0,0,0,0,0,1
1,5,20,4,3,1,1,0,0,0,1
1,1,29,6,5,0,1,0,0,0,1
0,6,20,6,5,0,0,0,0,0,1
1,1,22,0,3,0,0,1,0,0,1
0,5,29,4,3,0,0,0,0,0,1
1,5,39,3,5,0,0,0,0,0,1
1,5,5,1,5,1,1,1,1,0,1
1,2,27,0,3,0,0,1,0,0,1
1,1,36,2,3,1,1,1,1,0,1
1,6,20,6,5,0,0,0,1,0,1
1,1,24,0,5,0,0,0,0,0,1
1,5,29,6,3,0,0,0,0,0,1
1,5,20,6,5,0,0,0,0,0,1
1,7,29,4,3,0,1,1,1,0,1
1,1,6,6,3,0,0,0,0,0,1
1,6,20,6,3,0,0,0,0,0,1
0,1,20,0,5,1,1,1,0,0,1
1,5,27,4,3,1,1,1,1,1,1
1,5,29,1,3,0,0,0,0,0,1
1,7,28,0,5,0,0,0,0,0,1
0,1,29,2,5,0,0,0,0,0,1
0,6,29,6,3,0,0,0,1,0,1
0,1,29,0,3,1,1,1,0,1,1
1,6,27,6,5,0,1,1,1,0,1
1,1,20,6,1,0,0,0,0,0,1
1,1,46,4,5,0,1,1,0,0,1
1,6,27,6,2,0,1,1,1,0,1
1,1,33,6,3,0,0,0,0,0,1
1,5,20,0,2,1,1,0,1,1,1
1,5,27,4,5,0,0,1,0,0,1
1,3,20,1,3,0,0,0,0,0,1
1,2,34,2,5,0,1,0,0,0,1
0,0,27,6,4,0,0,0,0,0,1
0,7,13,2,3,0,0,0,1,0,1
0,1,29,6,3,0,0,1,1,0,1
1,6,20,6,3,0,0,1,0,0,1
1,1,15,1,3,0,0,0,0,0,1
0,5,29,2,5,0,1,0,0,0,1
1,5,29,3,3,0,0,0,1,0,1
1,7,30,6,2,1,1,0,1,1,1
1,1,29,2,3,0,0,1,0,0,1
1,6,43,3,5,0,0,0,0,0,1
1,2,48,3,5,1,1,1,1,0,1
1,6,29,6,3,0,1,0,1,1,1
0,4,29,6,5,0,0,0,0,0,1
0,7,25,4,3,0,0,0,0,0,1
1,2,40,4,5,0,1,1,0,0,1
1,1,29,6,3,0,0,0,0,0,1
1,7,35,6,5,0,0,0,0,0,1
1,1,8,4,5,0,0,0,1,0,1
1,6,29,6,3,0,0,0,0,0,1
1,1,0,5,3,0,0,0,1,0,1
1,5,38,6,3,0,0,0,1,0,1
1,5,15,6,3,0,0,0,0,0,1
1,7,26,6,3,0,1,1,0,0,1
1,1,24,4,5,0,0,1,0,0,1
0,6,23,4,5,1,1,0,1,0,1
1,1,14,6,3,0,1,0,0,0,1
1,5,1,1,5,0,0,1,0,0,1
1,5,43,6,5,0,0,0,0,0,1
1,1,10,4,3,0,0,0,1,0,1
1,6,27,4,5,1,1,0,0,0,1
0,1,43,6,4,0,0,0,0,0,1
0,5,27,4,3,0,0,1,0,0,1
1,5,24,6,3,0,0,1,1,0,1
1,7,20,6,5,0,1,0,0,0,1
1,1,47,0,5,0,0,0,1,0,1
1,6,44,4,4,0,0,0,0,0,1
1,1,20,1,3,0,0,0,0,0,1
1,5,17,0,3,1,1,1,1,0,1
1,5,21,2,3,0,0,0,0,0,1
1,6,20,6,5,0,1,1,0,0,1
1,6,11,0,5,0,0,0,0,0,1
0,7,32,6,5,0,0,0,0,0,1
1,1,37,6,3,0,1,1,0,1,1
1,6,31,4,5,0,0,0,0,0,1
1,1,37,6,3,0,1,1,1,0,1
0,5,27,6,5,0,0,1,0,0,1
0,5,20,0,1,0,0,0,1,0,1
1,7,3,4,3,0,0,0,1,0,1
0,1,2,0,5,0,0,1,0,0,1
1,6,24,2,5,1,1,0,0,0,1
1,1,40,6,5,0,1,0,0,0,1
1,5,9,4,4,0,0,0,1,0,1
1,1,41,6,3,0,0,0,0,0,1
1,4,29,6,3,0,0,1,0,0,1
0,1,20,0,5,0,1,1,0,0,1
1,6,4,4,3,1,1,0,1,0,1
1,7,45,1,3,0,0,0,0,0,1
0,2,43,0,5,0,0,0,0,0,1
