0,0,1,3,5,0,1
0,0,1,35,4,0,1
0,1,6,4,2,0,1
0,1,6,35,5,0,1
0,1,6,26,3,0,1
1,1,1,31,3,0,1
0,0,6,33,3,0,1
1,1,2,16,2,0,1
0,1,6,35,5,0,1
0,1,6,35,5,0,1
0,0,6,33,3,1,1
0,0,6,32,5,0,1
0,1,6,33,5,0,1
0,1,2,4,1,0,1
0,1,6,35,5,0,1
0,3,6,26,3,0,1
0,0,6,32,5,0,1
0,1,6,35,5,0,1
0,1,6,33,5,0,1
0,0,6,13,2,0,1
1,0,2,13,2,0,1
0,1,6,33,5,0,1
0,1,6,35,5,0,1
0,0,6,32,5,0,1
0,0,6,14,4,0,1
0,1,6,35,4,1,1
1,1,1,35,2,1,1
1,1,6,35,2,1,1
0,1,1,3,5,1,1
0,1,6,35,3,1,1
0,1,6,35,3,1,1
0,1,6,35,4,1,1
0,1,6,35,4,1,1
0,0,1,41,3,0,1
0,0,1,41,3,0,1
0,0,1,41,3,0,1
0,0,1,41,3,0,1
0,1,1,15,5,0,1
1,1,6,35,2,0,1
1,1,6,33,5,0,1
0,0,1,35,3,0,1
0,3,5,33,5,0,1
0,0,1,41,3,0,1
1,1,2,12,4,1,1
0,1,1,44,3,0,1
0,1,1,44,3,0,1
1,1,2,35,3,0,1
0,0,1,41,3,0,1
1,1,6,33,5,0,1
1,1,4,3,5,0,1
1,1,4,3,5,0,1
0,0,4,41,2,0,1
1,1,4,3,5,0,1
0,1,1,15,5,0,1
0,1,1,44,3,0,1
0,3,5,33,5,1,1
0,3,2,33,5,0,1
0,0,4,33,5,0,1
0,1,2,17,5,0,1
1,1,4,3,5,0,1
0,3,2,26,4,1,1
1,3,1,24,5,0,1
1,3,1,24,5,0,1
1,3,1,24,5,0,1
1,3,1,24,5,0,1
1,3,1,24,5,0,1
1,3,1,24,5,0,1
0,1,1,44,3,0,1
0,3,2,26,4,0,1
0,0,1,35,3,0,1
0,0,4,41,2,0,1
1,3,1,24,5,0,1
0,0,1,41,3,0,1
0,0,1,35,3,0,1
0,3,2,33,5,0,1
0,1,1,44,3,0,1
0,1,6,33,5,0,1
0,1,6,33,5,0,1
0,1,6,33,5,0,1
1,1,2,33,3,0,1
0,3,6,33,5,0,1
0,0,4,33,5,0,1
0,1,6,26,3,0,1
0,1,2,17,5,0,1
0,1,3,33,5,0,1
0,3,6,3,5,1,1
0,3,2,33,5,0,1
0,3,2,33,5,0,1
0,1,1,41,5,1,1
0,1,1,41,5,0,1
0,1,1,41,5,0,1
0,1,6,14,4,0,1
1,1,6,33,5,0,1
0,0,6,26,5,0,1
0,1,4,15,5,0,1
1,1,6,35,2,1,1
1,1,6,4,4,0,1
1,1,6,4,2,0,1
1,1,6,4,4,0,1
1,3,1,33,2,0,1
0,3,1,24,0,0,1
0,3,1,24,0,0,1
0,3,1,35,5,0,1
0,1,1,13,2,1,1
0,1,1,44,3,0,1
1,1,5,14,4,0,1
1,1,1,41,2,1,1
0,1,1,35,2,0,1
0,0,1,35,3,0,1
0,0,1,35,3,0,1
0,0,1,41,3,0,1
0,0,1,41,3,0,1
0,1,6,35,5,1,1
1,1,4,3,5,0,1
1,3,1,24,5,0,1
1,1,6,26,5,0,1
1,1,6,26,5,0,1
1,3,1,34,4,0,1
1,3,1,34,4,0,1
1,0,1,34,3,0,1
0,4,4,3,5,0,1
0,4,4,3,5,0,1
0,3,6,33,4,0,1
0,3,6,33,4,0,1
1,1,4,26,5,0,1
1,1,4,26,5,0,1
0,1,3,3,5,0,1
0,1,3,3,5,0,1
0,1,2,14,4,0,1
0,1,2,14,4,0,1
1,1,6,4,2,0,1
1,1,6,4,2,0,1
0,1,2,3,5,0,1
0,1,2,1,5,0,1
0,1,2,1,5,0,1
0,1,1,31,5,0,1
0,1,1,31,5,0,1
1,1,6,41,2,0,1
1,1,6,41,2,0,1
0,1,3,23,1,0,1
0,1,3,23,1,0,1
0,1,6,41,2,0,1
0,1,6,41,2,0,1
0,1,6,38,4,0,1
0,1,6,38,4,0,1
1,1,6,26,1,0,1
1,1,6,26,1,0,1
0,1,6,35,4,0,1
0,1,6,35,4,0,1
0,1,2,31,2,0,1
0,1,2,31,2,0,1
1,1,6,41,2,0,1
1,1,6,41,2,0,1
0,1,3,31,1,0,1
0,1,3,31,1,0,1
0,1,6,26,3,0,1
0,1,6,26,3,0,1
0,1,2,26,3,0,1
0,1,2,26,3,0,1
0,0,2,44,4,0,1
0,3,2,33,4,0,1
0,1,6,26,5,0,1
0,1,6,26,3,1,1
0,1,6,26,3,0,1
0,1,6,26,3,0,1
0,4,2,17,5,0,1
0,3,5,33,5,0,1
0,3,2,33,5,0,1
0,3,2,33,5,0,1
0,3,2,33,5,0,1
0,3,2,33,5,0,1
0,3,2,33,5,0,1
0,3,2,33,5,0,1
0,3,2,33,5,0,1
0,0,6,32,5,0,1
0,0,4,41,2,0,1
1,3,1,41,2,0,1
1,1,4,26,5,0,1
1,1,4,26,5,0,1
1,1,4,26,5,0,1
1,1,4,26,5,1,1
1,1,6,35,4,0,1
