0,589,66,1,1,1
1,458,56,0,0,1
1,157,53,0,0,1
0,1401,8,1,1,1
1,829,70,0,0,1
1,1205,80,1,1,1
0,416,41,1,0,1
1,905,17,1,1,1
1,1239,34,1,0,1
0,1547,80,1,0,1
1,1218,32,1,1,1
1,924,24,0,1,1
1,1122,40,0,0,1
1,1368,11,1,1,1
1,797,52,0,0,1
0,1025,1,1,0,1
0,1554,76,1,0,1
1,506,18,0,0,1
0,215,64,0,0,1
0,737,1,1,1,1
1,596,67,0,0,1
1,865,15,0,0,1
1,107,72,0,0,1
0,81,54,1,1,1
1,83,8,1,1,1
1,1293,29,0,0,1
0,1217,39,1,1,1
0,1467,7,1,0,1
0,1071,3,1,1,1
1,449,69,1,1,1
1,865,35,0,0,1
1,1507,27,0,0,1
1,1415,46,0,0,1
1,1641,6,1,0,1
1,509,1,0,0,1
0,148,27,1,0,1
0,588,37,1,0,1
1,738,64,0,0,1
1,672,25,1,1,1
1,538,19,0,0,1
0,397,21,0,0,1
1,688,21,0,0,1
0,488,75,0,0,1
1,523,64,0,0,1
0,865,52,0,0,1
0,660,70,1,0,1
1,497,0,1,1,1
1,934,61,1,0,1
1,1277,47,0,0,1
1,249,1,1,0,1
1,629,20,1,0,1
0,991,60,0,0,1
0,1608,68,0,0,1
1,712,37,1,0,1
0,1142,69,1,1,1
1,699,34,1,1,1
1,1254,73,0,0,1
1,640,31,1,0,1
1,251,70,1,0,1
0,273,19,0,0,1
0,1172,17,1,1,1
0,665,19,1,0,1
1,262,1,1,1,1
0,1335,41,0,0,1
0,633,15,1,0,1
1,1628,22,1,0,1
1,1235,49,0,0,1
0,751,9,1,1,1
1,1329,1,1,0,1
1,227,69,0,1,1
1,1137,70,1,0,1
0,995,43,0,0,1
1,1495,2,1,0,1
0,666,0,1,1,1
1,806,29,0,0,1
1,21,64,0,0,1
1,1223,80,0,0,1
1,1282,72,0,0,1
0,68,25,1,0,1
1,1016,3,0,0,1
1,690,74,1,1,1
0,751,5,1,1,1
0,1090,17,0,0,1
1,1527,19,1,1,1
1,1348,34,0,0,1
1,250,80,1,1,1
0,1434,80,1,1,1
0,1125,37,1,0,1
1,1524,63,1,1,1
1,738,42,0,0,1
0,1315,35,0,0,1
1,629,56,1,0,1
0,1448,19,1,1,1
1,15,5,0,0,1
0,609,72,0,0,1
1,475,46,1,1,1
1,671,3,1,0,1
0,1553,69,1,1,1
1,1479,74,0,0,1
1,477,13,1,0,1
1,1289,32,1,1,1
1,675,7,0,1,1
1,1601,77,1,1,1
0,1097,52,0,0,1
0,385,57,1,0,1
1,1511,46,0,0,1
1,877,52,0,0,1
0,600,15,1,1,1
0,658,1,1,0,1
1,314,60,1,1,1
1,801,66,1,1,1
1,677,47,0,0,1
0,1471,14,1,0,1
1,398,28,0,0,1
0,702,41,1,0,1
1,760,63,0,0,1
0,1520,41,0,0,1
0,533,5,0,0,1
1,368,2,0,0,1
0,1062,17,0,0,1
1,1142,13,1,1,1
1,1251,65,0,0,1
0,1015,47,1,0,1
0,1006,42,1,1,1
1,102,56,0,0,1
1,1246,50,0,0,1
0,878,19,0,0,1
0,166,19,1,0,1
1,698,34,0,0,1
0,1373,65,0,0,1
0,493,60,0,0,1
1,815,57,0,0,1
1,105,49,0,0,1
0,1296,30,1,0,1
1,1062,15,0,1,1
1,546,31,0,0,1
1,807,11,0,0,1
0,526,55,1,1,1
1,440,80,0,0,1
1,273,63,0,0,1
0,1468,56,1,0,1
0,251,74,1,1,1
1,1272,56,0,0,1
0,7,14,0,0,1
1,1062,4,0,0,1
0,982,35,0,0,1
0,1236,76,1,0,1
1,423,45,0,0,1
1,1639,35,0,0,1
1,947,25,0,0,1
1,388,76,0,1,1
1,1479,75,0,0,1
1,1510,46,1,0,1
0,614,20,0,0,1
